GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commercial_destroyed,Residential_damaged,Commercial_damaged,Infra,Agricultural,Hydropower,Econ_damage,Ref_scientific,Ref_other,Removal_reason,Certainty
1,1915,1915,NA,NA,Balthar,Balthar,G074464E36458N,,ephemeral,36.465,74.348,3220,NA,NA,NA,NA,Ice Dammed,N,N,,,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bazai et al., 2021",,Only a surge,0
2,1976,1976,NA,NA,Khurdopin ,Khurdopin ,G075438E36192N,,ephemeral,36.344239,75.474953,3482,NA,NA,NA,NA,Ice Dammed,N,Y,,,Pakistan,Gilgit - Baltistan,Hunza,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iturrizaga, 2005",,No evidence anywhere else,0
3,1993,1993,NA,NA,Chateboi,Chateboi,G073888E36780N,,G073888E36780N,36.84573,73.89904,3680,NA,NA,NA,NA,Ice Dammed,N,Y,,,Pakistan,Gilgit - Baltistan,Gilgit,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iturrizaga, 2005",,No definite evidence,1
4,1929,1929,NA,NA,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bazai et al., 2021",,Not found in the original source of Desio (1930). Possibly just a lake.,1
5,1963,1963,9,16,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Wrong inclusion in that paper, can not be found anywhere else",0
6,1966,1966,7,29,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Doubtful, as not present in any of the other sources.",1
7,1970,1970,5,23,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Doubtful, as not present in any of the other sources.",1
8,1979,1979,8,30,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Doubtful, as not present in any of the other sources.",1
9,2004,2004,9,20,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Doubtful, as not present in any of the other sources.",1
10,2006,2006,8,2,Kyagar,Kyagar,G077158E35562N,,ephemeral,35.677371,77.190788,4880,NA,NA,NA,NA,Ice Dammed,N,Y,,,China,Xinjiang,Yarkant,surging glacier,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrivick & Tweed (2016) ,,"Doubtful, as not present in any of the other sources.",1
11,1995,1995,5,26,Xiaga,Unnamed,GL091937E28802N,,G091954E28799N,28.802084,91.937805,5212,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,Nedong,unknown,ice avalanche,unknown,,81000000,,,,,,,,,,,,,,,,,,,,,,,,,"Nie et al (2018), Veh et al. (2019)",,Both Nie et al. (2018) and Zheng et al. (2021) find it doubtful that an event happened here. Imagery confirms that there are no traces.,0
12,Before 1966,NA,NA,NA,Huang Tsho,Unnamed,GL090070E28267N,,G090036E28191N,28.270531,90.070358,5150,NA,NA,NA,NA,Moraine dammed,N,N,,,China,TAR,Nianchu,unknown,ice calving,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Komori et al (2012),,"Zheng et al (2021) note this as doubtful, imagery confirms that there are no traces.",0
13,2007-2008,NA,NA,NA,Sangwang Co East,Unnamed,GL090226E28278N,,G090264E28200N,28.28,90.23,5308,NA,NA,NA,NA,Moraine Dammed,Y,N,,,China,TAR,Nianchu,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhang et al. (2021),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
14,2007-2008,NA,NA,NA,Sangwang Co East,Unnamed,GL090226E28278N,,G090264E28200N,28.28,90.23,5302,NA,NA,NA,NA,Moraine Dammed,,,,,Bhutan,,,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Veh et al. (2019),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
15,1993-1994,NA,NA,NA,Unnamed,Unnamed,GL082140E30340N,,G082133E30325N,30.34,82.14,5597,NA,NA,NA,NA,Moraine Dammed,Y,N,,,China,TAR,Maquan,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Veh et al. (2019),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
16,NA,NA,NA,NA,Unknown (Mustang),Unknown,GL083701E29218N,,G083677E29190N,29.220556,83.7025,5435,NA,NA,NA,NA,Moraine dammed,N,N,,,Nepal,Sudurpashchim,Kaligandaki,unknown,unknown,moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,Ives et al. (2010),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
17,NA,NA,NA,NA,Unknown (Mustang),Unknown,GL083739E29117N,,G083701E29131N,29.116999,83.738459,5523,NA,NA,NA,NA,Moraine dammed,N,N,,,Nepal,Sudurpashchim,Kaligandaki,unknown,unknown,moraine collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,Ives et al. (2010),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
18,1997-1999,NA,NA,NA,Unnamed,Unnamed,No lake ,,no glacier,27.9,90.42,5130,NA,NA,NA,NA,Unknown,,,,,Bhutan,,Mangdechu,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,Veh et al. (2019),,"Zheng et al (2021) suggests unlikely, imagery provides no strong case for outwash.",0
